##	TAG	<div1>
##	TAG	<head>
1	TOK	CITES	BOS	cite\VMFDRS3
75	TOK	Measures	BOS	measure\N5P
76	TOK	to		to\P
77	TOK	be		be\VMI----
##	TAG	<name>
78	TOK	Taken		Taken\N46
##	TAG	</name>
79	TOK	by		by\P
80	TOK	the		the\AT---6
##	TAG	<name>
81	TOK	Parties	EOS	Parties\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
83	TOK	Article	BOS	article\N5S
##	TAG	<num>
84	TOK	IX		IX\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
86	TOK	Management	BOS	management\N5S
87	TOK	and		and\CC
##	TAG	<name>
88	TOK	Scientific Authorities	EOS	Scientific_Authorities\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
90	TOK	Article	BOS	article\N5S
91	TOK	X		X\N5P
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
92	TOK	Trade	BOS	trade\N5S
93	TOK	with		with\P
##	TAG	<name>
94	TOK	States		States\N46
##	TAG	</name>
95	TOK	not		not\DGA7
##	TAG	<name>
96	TOK	Party		Party\N46
##	TAG	</name>
97	TOK	to		to\P
98	TOK	the		the\AT---6
##	TAG	<name>
99	TOK	CONVENTION	EOS	CONVENTION\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
101	TOK	Article	BOS	article\N5S
##	TAG	<num>
102	TOK	XI		XI\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
104	TOK	Conference	BOS	conference\N5S
105	TOK	of		of\P
106	TOK	the		the\AT---6
##	TAG	<name>
107	TOK	Parties	EOS	Parties\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
109	TOK	Article	BOS	article\N5S
##	TAG	<num>
110	TOK	XII		XII\X
##	TAG	</num>
---	DLD	:		=\DELIM
##	TAG	<name>
111	TOK	The Secretariat	EOS	The_Secretariat\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
113	TOK	Article	BOS	article\N5S
##	TAG	<num>
114	TOK	XIII		XIII\X
##	TAG	</num>
---	DLD	:		=\DELIM
##	TAG	<name>
115	TOK	International Measures	EOS	International_Measures\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
117	TOK	Article	BOS	article\N5S
##	TAG	<num>
118	TOK	XIV		XIV\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
120	TOK	Effect	BOS	effect\N5S
121	TOK	on		on\P
##	TAG	<name>
122	TOK	Domestic Legislation		Domestic_Legislation\N46
##	TAG	</name>
123	TOK	and		and\CC
##	TAG	<name>
124	TOK	International Conventions	EOS	International_Conventions\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
126	TOK	Article	BOS	article\N5S
##	TAG	<num>
127	TOK	XV		XV\X
##	TAG	</num>
---	DLD	:		=\DELIM
##	TAG	<name>
128	TOK	Amendments		Amendments\N46
##	TAG	</name>
129	TOK	to		to\P
##	TAG	<name>
130	TOK	Appendices I		Appendices_I\N46
##	TAG	</name>
131	TOK	and		and\CC
##	TAG	<num>
132	TOK	II	EOS	II\X
##	TAG	</num>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
134	TOK	Article	BOS	article\N5S
##	TAG	<num>
135	TOK	XVI		XVI\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
137	TOK	Appendix	BOS	appendix\N5S
##	TAG	<num>
138	TOK	II		II\X
##	TAG	</num>
139	TOK	and		and\CC
##	TAG	<name>
140	TOK	Amendments		Amendments\N46
##	TAG	</name>
141	TOK	thereto	EOS	thereto\DGA7
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
143	TOK	Article	BOS	article\N5S
##	TAG	<num>
144	TOK	XVII		XVII\X
##	TAG	</num>
---	DLD	:		=\DELIM
##	TAG	<name>
145	TOK	Amendment		Amendment\N46
##	TAG	</name>
146	TOK	of		of\P
147	TOK	the		the\AT---6
##	TAG	<name>
148	TOK	Convention	EOS	Convention\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
150	TOK	Article	BOS	article\N5S
##	TAG	<num>
151	TOK	XVIII		XVIII\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
153	TOK	Resolution	BOS	resolution\N5S
154	TOK	of		of\P
##	TAG	<name>
155	TOK	Disputes	EOS	Disputes\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
157	TOK	Article	BOS	article\N5S
##	TAG	<num>
158	TOK	XIX		XIX\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
160	TOK	Signature	BOS	signature\N5S
tf	TOK		EOS	=\DELS
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
162	TOK	Article	BOS	article\N5S
##	TAG	<num>
163	TOK	XX		XX\X
##	TAG	</num>
---	DLD	:		=\DELIM
##	TAG	<name>
164	TOK	Ratification		Ratification\N46
##	TAG	</name>
---	DLE	,		=\DELIM
##	TAG	<name>
165	TOK	Acceptance		Acceptance\N46
##	TAG	</name>
---	DLE	,		=\DELIM
##	TAG	<name>
166	TOK	Approval	EOS	Approval\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
168	TOK	Article	BOS	article\N5S
##	TAG	<num>
169	TOK	XXI		XXI\X
##	TAG	</num>
---	DLD	:		=\DELIM
##	TAG	<name>
170	TOK	Accession	EOS	Accession\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
172	TOK	Article	BOS	article\N5S
##	TAG	<num>
173	TOK	XXII		XXII\X
##	TAG	</num>
---	DLD	:		=\DELIM
##	TAG	<name>
174	TOK	Entry		Entry\N46
##	TAG	</name>
175	TOK	into		into\P
##	TAG	<name>
176	TOK	Force	EOS	Force\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
178	TOK	Article	BOS	article\N5S
##	TAG	<num>
179	TOK	XXIII		XXIII\X
##	TAG	</num>
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	<s>
181	TOK	Reservations	BOS	reservation\N5P
tf	TOK		EOS	=\DELS
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
183	TOK	Article	BOS	article\N5S
##	TAG	<num>
184	TOK	XXIV		XXIV\X
##	TAG	</num>
---	DLD	:		=\DELIM
##	TAG	<name>
185	TOK	Denunciation	EOS	Denunciation\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	<item label="-">
##	TAG	<s>
187	TOK	Article	BOS	article\N5S
##	TAG	<num>
188	TOK	XXV		XXV\X
##	TAG	</num>
---	DLD	:		=\DELIM
##	TAG	<name>
189	TOK	Reservations	EOS	Reservations\N46
##	TAG	</name>
##	TAG	</s>
##	TAG	</item>
##	TAG	</list>
##	TAG	<p>
##	TAG	<s>
191	TOK	Convention	BOS	convention\N5S
192	TOK	on		on\P
##	TAG	<name>
193	TOK	International Trade		International_Trade\N46
##	TAG	</name>
194	TOK	in		in\P
##	TAG	<name>
195	TOK	Endangered Species of Wild Fauna		Endangered_Species_of_Wild_Fauna\N46
##	TAG	</name>
196	TOK	and		and\CC
##	TAG	<name>
197	TOK	Flora		Flora\N46
##	TAG	</name>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
198	TOK	Signed	BOS	sign\VMC----
199	TOK	at		at\P
##	TAG	<name>
200	TOK	Washington		Washington\N46
##	TAG	</name>
---	DLE	,		=\DELIM
##	TAG	<abbr>
201	TOK	D.C.		D.C.\N5P
##	TAG	</abbr>
---	DLE	,		=\DELIM
202	TOK	on		on\P
##	TAG	<num>
203	TOK	3		3\X
##	TAG	</num>
##	TAG	<date pos="T" ISO8601="1973-03-">
204	TOK	March 1973		March_1973\T
##	TAG	</date>
##	TAG	<name>
205	TOK	Amended		Amended\N46
##	TAG	</name>
206	TOK	at		at\P
##	TAG	<name>
207	TOK	Bonn		Bonn\N46
##	TAG	</name>
---	DLE	,		=\DELIM
208	TOK	on		on\P
##	TAG	<num>
209	TOK	22		22\X
##	TAG	</num>
##	TAG	<date pos="T" ISO8601="1979-06-">
210	TOK	June 1979		June_1979\T
##	TAG	</date>
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<p>
##	TAG	<s>
211	TOK	The	BOS	the\AT---6
##	TAG	<name>
212	TOK	Contracting States		Contracting_States\N46
##	TAG	</name>
---	DLE	,		=\DELIM
##	TAG	<name>
213	TOK	Recognizing		Recognizing\N46
##	TAG	</name>
214	TOK	that		that\CS
215	TOK	wild		wild\JA
216	TOK	fauna		fauna\N5S
217	TOK	and		and\CC
##	TAG	<name>
218	TOK	flora		flora\N46
##	TAG	</name>
219	TOK	in		in\P
220	TOK	their		their\APP3N6
221	TOK	many		many\AI---P
222	TOK	beautiful		beautiful\JA
223	TOK	and		and\CC
224	TOK	varied		varied\JA
225	TOK	forms		form\N5P
226	TOK	are		be\V6FDR66
227	TOK	an		an\AI---S
228	TOK	irreplaceable		irreplaceable\JA
229	TOK	part		part\N5S
230	TOK	of		of\P
231	TOK	the		the\AT---6
232	TOK	natural		natural\JA
233	TOK	systems		system\N5P
234	TOK	of		of\P
235	TOK	the		the\AT---6
236	TOK	earth		earth\N5S
237	TOK	which		which\RW63N-
238	TOK	must		must\VOFDR66
239	TOK	be		be\VMI----
240	TOK	protected		protect\VMC----
241	TOK	for		for\P
242	TOK	this		this\AD---S
243	TOK	and		and\CC
244	TOK	the		the\AT---6
245	TOK	generations		generation\N5P
246	TOK	to		to\P
247	TOK	come		come\VMI----
---	DLD	;		=\DELIM
##	TAG	<name>
248	TOK	Conscious		Conscious\N46
##	TAG	</name>
249	TOK	of		of\P
250	TOK	the		the\AT---6
251	TOK	ever		ever\DGA7
---	DLI	-		=\DELIM
252	TOK	growing		growing\JA
253	TOK	value		value\N5S
254	TOK	of		of\P
255	TOK	wild		wild\JA
256	TOK	fauna		fauna\N5S
257	TOK	and		and\CC
##	TAG	<name>
258	TOK	flora		flora\N46
##	TAG	</name>
259	TOK	from		from\P
260	TOK	aesthetic		aesthetic\JA
---	DLD	,		=\DELIM
261	TOK	scientific		scientific\JA
---	DLD	,		=\DELIM
262	TOK	cultural		cultural\JA
---	DLD	,		=\DELIM
263	TOK	recreational		recreational\JA
264	TOK	and		and\CC
265	TOK	economic		economic\JA
266	TOK	points		point\N5P
267	TOK	of		of\P
268	TOK	view		view\VMI----
---	DLD	;		=\DELIM
##	TAG	<name>
269	TOK	Recognizing		Recognizing\N46
##	TAG	</name>
270	TOK	that		that\CS
271	TOK	peoples		people\N5P
272	TOK	and		and\CC
##	TAG	<name>
273	TOK	States		States\N46
##	TAG	</name>
274	TOK	are		be\V6FDR66
275	TOK	and		and\CC
276	TOK	should		shall\VOFDA66
277	TOK	be		be\VMI----
278	TOK	the		the\AT---6
279	TOK	best		good\JS
280	TOK	protectors		protector\N5P
281	TOK	of		of\P
282	TOK	their		their\APP3N6
283	TOK	own		own\JA
284	TOK	wild		wild\JA
285	TOK	fauna		fauna\N5S
286	TOK	and		and\CC
##	TAG	<name>
287	TOK	flora		flora\N46
##	TAG	</name>
---	DLD	;		=\DELIM
##	TAG	<name>
288	TOK	Recognizing		Recognizing\N46
##	TAG	</name>
---	DLE	,		=\DELIM
289	TOK	in		in\P
290	TOK	addition		addition\N5S
---	DLD	,		=\DELIM
291	TOK	that		that\CS
292	TOK	international		international\JA
293	TOK	co		co\N5P
---	DLI	-		=\DELIM
294	TOK	operation		operation\N5S
295	TOK	is		be\V6FDRS3
296	TOK	essential		essential\JA
297	TOK	for		for\P
298	TOK	the		the\AT---6
299	TOK	protection		protection\N5S
300	TOK	of		of\P
301	TOK	certain		certain\JA
302	TOK	species		species\N56
303	TOK	of		of\P
304	TOK	wild		wild\JA
305	TOK	fauna		fauna\N5S
306	TOK	and		and\CC
##	TAG	<name>
307	TOK	flora		flora\N46
##	TAG	</name>
308	TOK	against		against\P
309	TOK	over		over\P
---	DLI	-		=\DELIM
310	TOK	exploitation		exploitation\N5S
311	TOK	through		through\P
312	TOK	international		international\JA
313	TOK	trade		trade\N5S
---	DLD	;		=\DELIM
##	TAG	<name>
314	TOK	Convinced		Convinced\N46
##	TAG	</name>
315	TOK	of		of\P
316	TOK	the		the\AT---6
317	TOK	urgency		urgency\N5S
318	TOK	of		of\P
319	TOK	taking		take\VMG----
320	TOK	appropriate		appropriate\JA
321	TOK	measures		measure\N5P
322	TOK	to		to\P
323	TOK	this		this\AD---S
324	TOK	end		end\N5S
---	DLD	;		=\DELIM
325	TOK	Have		have\N5S
326	TOK	agreed		agree\VMF6A66
327	TOK	as		as\CS
328	TOK	follows		follow\VMFDRS3
---	DLD	:	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<head>
329	TOK	Article	BOS	article\N5S
330	TOK	I	EOS	I\N5P
##	TAG	</head>
##	TAG	<head>
332	TOK	Definitions	BOS	definition\N5P
tf	TOK		EOS	=\DELS
##	TAG	</head>
##	TAG	<head>
334	TOK	a	BOS	a\AI---S
---	DLE	"		=\DELIM
##	TAG	<name>
335	TOK	Species		Species\N46
##	TAG	</name>
---	DLE	"		=\DELIM
336	TOK	means		mean\VMFDRS3
337	TOK	any		any\AG---6
338	TOK	species		species\N56
---	DLD	,		=\DELIM
339	TOK	subspecies		subspecies\N56
---	DLD	,		=\DELIM
340	TOK	or		or\CC
341	TOK	geographically		geographically\DGA7
342	TOK	separate		separate\JA
343	TOK	population		population\N5S
344	TOK	thereof		thereof\DGA7
---	DLD	;		=\DELIM
345	TOK	i		i\N5S
346	TOK	any		any\AG---6
347	TOK	animal		animal\N5S
348	TOK	or		or\CC
349	TOK	plant		plant\VMF6R66
---	DLD	,		=\DELIM
350	TOK	whether		whether\CS
351	TOK	alive		alive\JA
352	TOK	or		or\CC
353	TOK	dead		dead\JA
---	DLD	;		=\DELIM
354	TOK	ii		ii\N5P
355	TOK	in		in\P
356	TOK	the		the\AT---6
357	TOK	case		case\N5S
358	TOK	of		of\P
359	TOK	an		an\AI---S
360	TOK	animal		animal\N5S
---	DLD	:		=\DELIM
361	TOK	for		for\P
362	TOK	species		species\N56
363	TOK	included		include\VMC----
364	TOK	in		in\P
##	TAG	<name>
365	TOK	Appendices I		Appendices_I\N46
##	TAG	</name>
366	TOK	and		and\CC
##	TAG	<num>
367	TOK	II		II\X
##	TAG	</num>
---	DLE	,		=\DELIM
368	TOK	any		any\AG---6
369	TOK	readily		readily\DGA7
370	TOK	recognizable		recognizable\JA
371	TOK	part		part\N5S
372	TOK	or		or\CC
373	TOK	derivative		derivative\N5S
374	TOK	thereof		thereof\DGA7
---	DLD	;		=\DELIM
375	TOK	and		and\CC
376	TOK	for		for\P
377	TOK	species		species\N56
378	TOK	included		include\VMC----
379	TOK	in		in\P
##	TAG	<name>
380	TOK	Appendix		Appendix\N46
##	TAG	</name>
##	TAG	<num>
381	TOK	III		III\X
##	TAG	</num>
---	DLE	,		=\DELIM
382	TOK	any		any\AG---6
383	TOK	readily		readily\DGA7
384	TOK	recognizable		recognizable\JA
385	TOK	part		part\N5S
386	TOK	or		or\CC
387	TOK	derivative		derivative\N5S
388	TOK	thereof		thereof\DGA7
389	TOK	specified		specify\VMC----
390	TOK	in		in\P
##	TAG	<name>
391	TOK	Appendix		Appendix\N46
##	TAG	</name>
##	TAG	<num>
392	TOK	III		III\X
##	TAG	</num>
393	TOK	in		in\P
394	TOK	relation		relation\N5S
395	TOK	to		to\P
396	TOK	the		the\AT---6
397	TOK	species		species\N56
---	DLD	;		=\DELIM
398	TOK	and		and\CC
399	TOK	iii		iii\N5P
400	TOK	in		in\P
401	TOK	the		the\AT---6
402	TOK	case		case\N5S
403	TOK	of		of\P
404	TOK	a		a\AI---S
405	TOK	plant		plant\N5S
---	DLD	:		=\DELIM
406	TOK	for		for\P
407	TOK	species		species\N56
408	TOK	included		include\VMC----
409	TOK	in		in\P
##	TAG	<name>
410	TOK	Appendix I		Appendix_I\N46
##	TAG	</name>
---	DLE	,		=\DELIM
411	TOK	any		any\AG---6
412	TOK	readily		readily\DGA7
413	TOK	recognizable		recognizable\JA
414	TOK	part		part\N5S
415	TOK	or		or\CC
416	TOK	derivative		derivative\N5S
417	TOK	thereof		thereof\DGA7
---	DLD	;		=\DELIM
418	TOK	and		and\CC
419	TOK	for		for\P
420	TOK	species		species\N56
421	TOK	included		include\VMC----
422	TOK	in		in\P
##	TAG	<name>
423	TOK	Appendices		Appendices\N46
##	TAG	</name>
##	TAG	<num>
424	TOK	II		II\X
##	TAG	</num>
425	TOK	and		and\CC
##	TAG	<num>
426	TOK	III		III\X
##	TAG	</num>
---	DLE	,		=\DELIM
427	TOK	any		any\AG---6
428	TOK	readily		readily\DGA7
429	TOK	recognizable		recognizable\JA
430	TOK	part		part\N5S
431	TOK	or		or\CC
432	TOK	derivative		derivative\N5S
433	TOK	thereof		thereof\DGA7
434	TOK	specified		specify\VMC----
435	TOK	in		in\P
##	TAG	<name>
436	TOK	Appendices		Appendices\N46
##	TAG	</name>
##	TAG	<num>
437	TOK	II		II\X
##	TAG	</num>
438	TOK	and		and\CC
##	TAG	<num>
439	TOK	III		III\X
##	TAG	</num>
440	TOK	in		in\P
441	TOK	relation		relation\N5S
442	TOK	to		to\P
443	TOK	the		the\AT---6
444	TOK	species		species\N56
---	DLD	;	EOS	=\DELIM
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
445	TOK	c	BOS	c\N5S
---	DLE	"		=\DELIM
##	TAG	<name>
446	TOK	Trade		Trade\N46
##	TAG	</name>
---	DLE	"		=\DELIM
447	TOK	means		mean\N56
448	TOK	export		export\VMF6R66
---	DLD	,		=\DELIM
449	TOK	re		re\P
---	DLI	-		=\DELIM
450	TOK	export		export\N5S
---	DLD	,		=\DELIM
451	TOK	import		import\N5S
452	TOK	and		and\CC
453	TOK	introduction		introduction\N5S
454	TOK	from		from\P
455	TOK	the		the\AT---6
456	TOK	sea		sea\N5S
---	DLD	;		=\DELIM
457	TOK	d		d\N5S
---	DLE	"		=\DELIM
##	TAG	<name>
458	TOK	Re		Re\N46
##	TAG	</name>
---	DLE	-		=\DELIM
459	TOK	export		export\N5S
---	DLD	"		=\DELIM
460	TOK	means		mean\N56
461	TOK	export		export\N5S
462	TOK	of		of\P
463	TOK	any		any\AG---6
464	TOK	specimen		specimen\N5S
465	TOK	that		that\RW63N6
466	TOK	has		have\V6FDRS3
467	TOK	previously		previously\DGA7
468	TOK	been		be\VMC----
469	TOK	imported		import\VMF6A66
---	DLD	;		=\DELIM
470	TOK	e		e\N5S
---	DLE	"		=\DELIM
##	TAG	<name>
471	TOK	Introduction		Introduction\N46
##	TAG	</name>
472	TOK	from		from\P
473	TOK	the		the\AT---6
474	TOK	sea		sea\N5S
---	DLD	"		=\DELIM
475	TOK	means		mean\N56
476	TOK	transportation		transportation\N5S
477	TOK	into		into\P
478	TOK	a		a\AI---S
##	TAG	<name>
479	TOK	State		State\N46
##	TAG	</name>
480	TOK	of		of\P
481	TOK	specimens		specimen\N5P
482	TOK	of		of\P
483	TOK	any		any\AG---6
484	TOK	species		species\N56
485	TOK	which		which\RW63N-
486	TOK	were		be\V6F-A66
487	TOK	taken		take\VMC----
488	TOK	in		in\P
489	TOK	the		the\AT---6
490	TOK	marine		marine\JA
491	TOK	environment		environment\N5S
492	TOK	not		not\DGA7
493	TOK	under		under\P
494	TOK	the		the\AT---6
495	TOK	jurisdiction		jurisdiction\N5S
496	TOK	of		of\P
497	TOK	any		any\AG---6
##	TAG	<name>
498	TOK	State		State\N46
##	TAG	</name>
---	DLD	;		=\DELIM
499	TOK	f		f\N5S
---	DLE	"		=\DELIM
##	TAG	<name>
500	TOK	Scientific Authority		Scientific_Authority\N46
##	TAG	</name>
---	DLE	"		=\DELIM
501	TOK	means		mean\VMFDRS3
502	TOK	a		a\AI---S
503	TOK	national		national\JA
504	TOK	scientific		scientific\JA
505	TOK	authority		authority\N5S
506	TOK	designated		designate\VMC----
507	TOK	in		in\P
508	TOK	accordance		accordance\N5S
509	TOK	with		with\P
##	TAG	<name>
510	TOK	Article		Article\N46
##	TAG	</name>
##	TAG	<num>
511	TOK	IX		IX\X
##	TAG	</num>
---	DLD	;		=\DELIM
512	TOK	g		g\N5S
---	DLE	"		=\DELIM
##	TAG	<name>
513	TOK	Management Authority		Management_Authority\N46
##	TAG	</name>
---	DLE	"		=\DELIM
514	TOK	means		mean\VMFDRS3
515	TOK	a		a\AI---S
516	TOK	national		national\JA
517	TOK	management		management\N5S
518	TOK	authority		authority\N5S
519	TOK	designated		designate\VMC----
520	TOK	in		in\P
521	TOK	accordance		accordance\N5S
522	TOK	with		with\P
##	TAG	<name>
523	TOK	Article		Article\N46
##	TAG	</name>
##	TAG	<num>
524	TOK	IX		IX\X
##	TAG	</num>
---	DLD	;		=\DELIM
525	TOK	h		h\N5S
---	DLE	"		=\DELIM
##	TAG	<name>
526	TOK	Party		Party\N46
##	TAG	</name>
---	DLE	"		=\DELIM
527	TOK	means		mean\VMFDRS3
528	TOK	a		a\AI---S
##	TAG	<name>
529	TOK	State		State\N46
##	TAG	</name>
530	TOK	for		for\P
531	TOK	which		which\RW63N-
532	TOK	the		the\AT---6
533	TOK	present		present\JA
##	TAG	<name>
534	TOK	Convention		Convention\N46
##	TAG	</name>
535	TOK	has		have\V6FDRS3
536	TOK	entered		enter\VMC----
537	TOK	into		into\P
538	TOK	force		force\VMI----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
##	TAG	</p>
##	TAG	<head>
539	TOK	Article	BOS	article\N5S
##	TAG	<num>
540	TOK	II	EOS	II\X
##	TAG	</num>
##	TAG	</head>
##	TAG	<head>
542	TOK	Fundamental	BOS	fundamental\JA
##	TAG	<name>
543	TOK	Principles	EOS	Principles\N46
##	TAG	</name>
##	TAG	</head>
##	TAG	<p>
##	TAG	<s>
545	TOK	Appendix	BOS	appendix\N5S
546	TOK	I		I\N5P
547	TOK	shall		shall\VOFDR66
548	TOK	include		include\VMI----
549	TOK	all		all\AG---6
550	TOK	species		species\N56
551	TOK	threatened		threaten\VMC----
552	TOK	with		with\P
553	TOK	extinction		extinction\N5S
554	TOK	which		which\RW63N-
555	TOK	are		be\V6FDR66
556	TOK	or		or\CC
557	TOK	may		may\VOFDR66
558	TOK	be		be\VMI----
559	TOK	affected		affect\VMC----
560	TOK	by		by\P
561	TOK	trade		trade\VMI----
---	DLD	.	EOS	=\DELIM
##	TAG	</s>
